"scientificName","decimalLongitude","decimalLatitude"
"Intellagama lesueurii",150.73706,-34.04511
"Intellagama lesueurii",150.766282,-34.071177
"Intellagama lesueurii",151.215727,-33.86918
"Intellagama lesueurii",150.250653,-33.483451
"Intellagama lesueurii",151.225927,-33.818733
"Pogona barbata",153.457911,-28.093392
"Intellagama lesueurii",152.978909,-27.476259
"Intellagama lesueurii",151.215727,-33.86918
"Intellagama lesueurii",151.216374,-33.865804
"Intellagama lesueurii",149.108002,-35.273865
"Intellagama lesueurii",149.118298,-35.278939
"Intellagama lesueurii",149.110466,-35.278983
"Intellagama lesueurii",151.202249,-33.876557
"Intellagama lesueurii",151.216373,-33.865866
"Intellagama lesueurii",151.132898,-33.721916
"Intellagama lesueurii",152.974442,-27.477267
"Intellagama lesueurii",152.97627,-27.476765
"Intellagama lesueurii",151.082578,-33.702999
"Intellagama lesueurii",152.976882,-27.477295
"Intellagama lesueurii",152.97695,-27.477242
"Intellagama lesueurii",151.215727,-33.86918
"Intellagama lesueurii",152.976964,-27.477262
"Intellagama lesueurii",153.083453,-27.841353
"Intellagama lesueurii",151.215727,-33.86918
"Intellagama lesueurii",152.976972,-27.477217
"Intellagama lesueurii",151.191101,-33.300134
"Intellagama lesueurii",151.005192,-33.800583
"Intellagama lesueurii",151.296123,-33.80777
"Chlamydosaurus kingii",130.894761,-12.373623
"Intellagama lesueurii",151.212746,-33.864837
"Intellagama lesueurii",150.974689,-33.89543
"Intellagama lesueurii",151.215385,-33.866088
"Intellagama lesueurii",152.974904,-27.478381
"Intellagama lesueurii",151.216447,-33.865804
"Intellagama lesueurii",151.369676,-33.360125
"Intellagama lesueurii",152.938056,-27.456417
"Intellagama lesueurii",151.00374,-33.743739
"Intellagama lesueurii",150.982776,-34.212547
"Intellagama lesueurii",150.979252,-33.90718
"Intellagama lesueurii",151.108328,-33.853773
"Intellagama lesueurii",151.281996,-33.794097
"Pogona barbata",151.095076,-33.734161
"Intellagama lesueurii",151.162199,-33.807394
"Intellagama lesueurii",151.216696,-33.8659
"Intellagama lesueurii",151.226143,-33.861001
"Intellagama lesueurii",152.97698,-27.477308
"Intellagama lesueurii",149.108642,-35.276276
"Intellagama lesueurii",152.976728,-27.476945
"Intellagama lesueurii",149.109739,-35.273917
"Intellagama lesueurii",151.216109,-33.866044
"Intellagama lesueurii",152.976139,-27.476915
"Intellagama lesueurii",152.969692,-27.479749
"Intellagama lesueurii",150.761092,-34.048814
"Intellagama lesueurii",152.97634,-27.47674
"Intellagama lesueurii",151.108512,-33.734887
"Intellagama lesueurii",151.033381,-33.779001
"Intellagama lesueurii",151.007174,-33.791013
"Intellagama lesueurii",151.100206,-33.761239
