"X","Y"
149.0152,-21.1856
142.17337,-12.6223
152.451064,-26.231744
153.075,-26.066667
143.735278,-14.608056
152.931601,-26.099557
153.275399,-24.938024
144.870069,-18.025279
153.274653,-25.150075
153.299307,-24.991269
151.15161,-23.802584
149.662374,-25.033462
148.667778,-21.19
144.209167,-15.005833
152.959399,-27.256738
146.784437,-19.281786
153.075995,-25.999346
139.33917,-16.59962
144.56019,-18.23007
139.35591,-16.57245
143.278398,-14.210875
143.394327,-14.448977
146.44879,-19.09131
142.94,-13.72
144.634167,-15.300833
142.383954,-10.957503
143.045121,-13.598491
145.629648,-18.619085
148.948611,-20.881667
143.90224,-17.613751
142.427122,-12.196333
151.121944,-25.369167
141.970556,-18.029167
152.334388,-24.831748
144.565556,-18.221944
144.609444,-17.498333
142.143426,-11.914592
153.006944,-25.667778
142.90755,-12.95583
144.981667,-15.661111
146.12522,-18.85479
140.189722,-20.234583
142.64265,-12.452825
144.44737,-15.56718
151.77065,-26.059018
144.312917,-15.115444
148.484429,-22.78177
151.114944,-23.754251
150.347778,-22.754444
153.073865,-25.789854
146.026108,-18.265126
150.784444,-22.6525
142.710168,-13.604089
142.539454,-10.769669
150.455247,-23.156755
153.08883,-25.908963
143.915,-15.222222
145.477222,-18.247778
142.65531,-13.38275
150.301944,-22.791389
150.651076,-22.844256
148.035097,-24.099015
151.655228,-24.265086
142.482621,-11.694
153.30665,-24.958122
151.551151,-24.364386
143.019399,-13.562055
150.942639,-24.327972
152.617791,-25.159123
145.476313,-17.548801
143.570616,-13.967487
152.955235,-27.585626
146.43315,-19.06399
150.936628,-24.313141
142.06463,-12.04057
153.295238,-24.950629
153.067723,-27.315063
153.209376,-25.148408
143.201119,-13.944322
153.057793,-25.573127
142.879491,-13.002945
142.412667,-19.45
152.367733,-26.248412
146.47962,-19.1193
148.5255,-20.4942
145.585993,-17.01723
145.524142,-18.221888
149.151495,-25.128517
146.642772,-19.256786
153.303191,-24.957846
152.911424,-27.788338
153.042726,-27.673396
145.517879,-17.089866
150.492746,-23.165089
140.919167,-17.910278
152.563081,-25.113791
146.763041,-19.231802
153.301202,-24.95514
145.654156,-18.61684
153.113552,-26.067851
143.015287,-12.953327
153.076498,-25.60803
142.56312,-10.765002
142.659472,-12.524781
144.634444,-18.206667
148.251121,-25.069263
152.447772,-25.658985
151.936065,-24.489513
144.269972,-15.009333
146.742749,-19.206793
143.548449,-13.977653
153.006021,-25.608356
143.525556,-18.346944
153.28169,-25.166121
142.816389,-13.638056
146.760094,-19.224538
142.879491,-13.002945
152.976161,-25.554181
143.33562,-14.323986
153.091778,-26.431083
142.691667,-13.484722
148.229156,-22.872326
151.148056,-23.618889
144.559444,-17.356667
153.044925,-25.775408
153.299299,-24.991261
145.0625,-15.709444
148.501087,-23.08177
144.45,-15.567
151.097917,-23.719722
144.434441,-14.315148
146.45762,-19.13221
153.094182,-26.634656
148.5258,-20.4863
151.106333,-23.748695
142.143426,-11.914592
153.290277,-24.947027
142.545787,-10.769669
150.984405,-23.619255
142.549454,-10.764169
152.459394,-25.915078
144.440278,-14.259722
144.44737,-15.56718
149.25108,-23.515098
145.520451,-17.099071
153.127733,-27.639792
143.231944,-13.708333
153.275408,-24.938033
152.447772,-25.658985
152.996074,-25.490067
145.455278,-18.327222
151.062778,-23.719167
144.431944,-14.293056
150.521912,-23.373422
152.905237,-27.665071
150.669959,-23.026087
142.401297,-12.852097
152.686631,-25.877028
145.430147,-17.044023
145.177222,-15.439722
145.146667,-16.549167
142.630278,-11.113889
144.379556,-15.180167
142.308089,-14.737511
153.069512,-27.222234
145.00105,-16.5041
153.130774,-26.037017
142.531787,-10.692003
142.1146,-10.1155
151.892724,-24.198419
146.48389,-19.10486
149.704876,-25.026621
148.256515,-25.070308
147.35249,-20.46068
142.410337,-12.918683
152.001061,-25.065083
153.094182,-26.634656
148.5234,-20.4899
152.976066,-27.373404
152.267722,-24.827582
138.0899,-17.44485
148.534,-20.2989
142.817953,-12.407831
153.06583,-26.73389
152.660381,-25.276457
150.523029,-26.49874
150.503722,-22.893192
152.967736,-27.669237
153.303181,-24.957838
148.496785,-21.235388
153.05778,-26.72944
144.554006,-14.382064
153.274881,-25.150251
144.459444,-15.273477
150.296334,-26.103912
153.0669,-27.61257
149.118956,-25.210893
151.109273,-24.152974
146.45374,-19.09717
152.7776,-25.804956
145.451858,-17.140956
152.661389,-25.662222
152.517343,-25.031328
147.320542,-19.556782
142.432455,-10.772836
146.75275,-19.20375
148.5684,-20.493
149.286364,-25.295753
145.967309,-18.516491
145.064272,-16.518691
153.00816,-25.608358
148.451111,-20.431667
151.709393,-24.12342
144.571944,-18.192778
144.44737,-15.56718
138.589278,-19.75775
141.120278,-17.825556
142.72591,-18.34744
150.080259,-25.212304
145.497911,-17.079549
149.684424,-25.465091
150.75109,-26.098421
153.08571,-25.613758
149.763948,-24.078773
146.43315,-19.06399
153.274692,-25.15026
145.013611,-15.428056
139.016919,-18.611134
144.24304,-18.102027
146.65942,-19.34913
153.044662,-25.775352
151.699318,-24.662954
